"Park","dry","dry-mesic","hydric","mesic"
"ACAD",23,4,6,143
"ALPO",0,0,0,22
"ANTI",0,2,0,11
"APCO",0,12,0,16
"BLUE",7,15,0,10
"BOWA",0,6,0,2
"CATO",8,10,1,30
"CHOH",6,9,4,56
"COLO",0,0,1,46
"DEWA",35,22,4,39
"FONE",0,5,0,15
"FRHI",0,0,0,20
"FRSP",36,41,9,18
"GARI",10,10,0,22
"GETT",0,26,0,7
"GEWA",0,0,1,7
"GWMP",1,1,3,15
"HAFE",6,7,0,7
"HOFU",4,8,2,2
"JOFL",0,0,0,12
"MABI",0,1,2,21
"MANA",0,9,2,6
"MIMA",0,15,3,2
"MONO",0,5,0,10
"MORR",0,1,1,26
"NACE",4,11,8,25
"NERI",41,23,1,37
"PETE",0,8,2,42
"PRWI",28,49,1,67
"RICH",0,9,7,16
"ROCR",4,0,0,15
"ROVA",0,1,1,38
"SAGA",0,2,0,19
"SAHI",0,0,0,4
"SARA",0,14,1,17
"THST",1,0,0,7
"VAFO",9,0,0,19
"WEFA",1,4,3,2
"WOTR",2,1,0,3
