"Park","Late Succ.","Mature","Mosaic","Pole"
"ACAD",30,82,16,48
"ALPO",8,9,4,1
"ANTI",8,1,1,3
"APCO",9,12,0,7
"BLUE",12,11,7,2
"BOWA",2,4,2,0
"CATO",37,5,6,1
"CHOH",39,18,6,12
"COLO",36,7,4,0
"DEWA",24,51,15,10
"FONE",12,5,2,1
"FRHI",9,9,1,1
"FRSP",46,36,18,4
"GARI",14,14,10,4
"GETT",19,4,5,5
"GEWA",7,1,0,0
"GWMP",15,3,2,0
"HAFE",16,4,0,0
"HOFU",13,1,1,1
"JOFL",0,6,2,4
"MABI",13,6,5,0
"MANA",8,5,2,2
"MIMA",8,8,1,3
"MONO",10,2,2,1
"MORR",22,4,2,0
"NACE",24,14,8,2
"NERI",35,45,13,9
"PETE",10,31,9,2
"PRWI",63,57,23,2
"RICH",10,13,7,2
"ROCR",18,0,1,0
"ROVA",22,8,6,4
"SAGA",13,6,2,0
"SAHI",4,0,0,0
"SARA",8,13,7,4
"THST",5,1,2,0
"VAFO",19,8,1,0
"WEFA",6,2,1,1
"WOTR",4,2,0,0
